epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1476.27,0.70512,1.29796,1.12899,0.97736,0.60175,0.62926,0.59894,0.72905,1.26404,1.26863,3.66758e-05,3.66758e-05,3.66758e-05
41,1517.53,0.61125,1.11994,1.11557,0.97086,0.6093,0.63046,0.59926,0.72673,1.2559,1.26623,3.3488e-05,3.3488e-05,3.3488e-05
42,1553.3,0.59304,1.08872,1.09617,0.96854,0.60988,0.63136,0.60062,0.72638,1.25283,1.26568,3.03002e-05,3.03002e-05,3.03002e-05
43,1588.89,0.58762,1.072,1.09482,0.97254,0.60778,0.63001,0.59782,0.71985,1.25597,1.26188,2.71124e-05,2.71124e-05,2.71124e-05
44,1624.41,0.58449,1.07652,1.0966,0.9718,0.60965,0.63144,0.59824,0.72529,1.25,1.26794,2.39246e-05,2.39246e-05,2.39246e-05
45,1659.65,0.57754,1.06756,1.08991,0.97615,0.60977,0.63184,0.59862,0.71869,1.26004,1.2615,2.07368e-05,2.07368e-05,2.07368e-05
46,1696,0.57575,1.05997,1.08488,0.97766,0.60572,0.6312,0.59946,0.71987,1.24968,1.26147,1.7549e-05,1.7549e-05,1.7549e-05
47,1731.82,0.5734,1.05152,1.0871,0.9742,0.60878,0.62967,0.60014,0.71757,1.24907,1.26209,1.43612e-05,1.43612e-05,1.43612e-05
48,1767.67,0.56985,1.05285,1.08584,0.97716,0.60643,0.62955,0.60097,0.71043,1.24505,1.25645,1.11734e-05,1.11734e-05,1.11734e-05
49,1803.29,0.56562,1.04234,1.08139,0.97455,0.6069,0.6299,0.60061,0.70697,1.24246,1.25282,7.9856e-06,7.9856e-06,7.9856e-06
50,1839.65,0.56133,1.0405,1.07983,0.97506,0.60661,0.62963,0.60107,0.70707,1.24303,1.25473,4.7978e-06,4.7978e-06,4.7978e-06
